Movie Name,Duration,IMdb rating,Rating,Description,Votes,Poster,Month of Release
199. Agni Siragugal,,,,,,"https://m.media-amazon.com/images/M/MV5BMTk0NTU2MzMtYTZhZC00Zjc5LTgxNGUtOTkwMzlmNjQzZjI1XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_QL75_UX140_CR0,1,140,207_.jpg",October
200. Nanban Oruvan Vandha Piragu,,,,,,"https://m.media-amazon.com/images/M/MV5BNWE2ZGQzZmQtZDlkZC00YzlkLThhNzAtM2YwODU1NThlNjU4XkEyXkFqcGdeQXVyMTI3Mjk0ODEw._V1_QL75_UX140_CR0,21,140,207_.jpg",November
201. Narakasura,2h 22m,8.6,1.1K,"In a realm of coffee and pepper, Shiva's vanishing act sparks a journey of secrets, love, and power. Amid the chaos, a hidden romance, and a transgender community's struggle, lead to a gripping climax of sacrifices and a cataclysmic clash.","1,104","https://m.media-amazon.com/images/M/MV5BODFjNGZjOTYtM2VlOC00YTBmLWI5YTMtOTM0MmQxZTc0MmIyXkEyXkFqcGdeQXVyOTc2MTgwNjY@._V1_QL75_UX140_CR0,2,140,207_.jpg",November
202. Ra Ra Sarasukku Ra Ra,1h 56m,8,72,The story tells the story of three women caught up in a random murder and their struggles to escape.,72,"https://m.media-amazon.com/images/M/MV5BNDY3MGFlZjAtZjIxMS00ODU3LWI2M2YtY2RhY2E0ZWYxOGMzXkEyXkFqcGdeQXVyMTA4MzQ4NzMw._V1_QL75_UX140_CR0,1,140,207_.jpg",November
203. Licence,1h 58m,9.5,267,A middle class House wife Asking A fir arms License to safety Precautions.,267,"https://m.media-amazon.com/images/M/MV5BYWZmNDM5MDgtMDFmYi00ODc2LTgyODgtYmM1OWU5ZTUzMjZjXkEyXkFqcGdeQXVyMTU0ODI1NTA2._V1_QL75_UY207_CR0,0,140,207_.jpg",November
204. Rule Number 4,,,,"In a race against time for survival, a daring ATM van driver must outsmart ruthless dacoits and corrupt officials to rescue his love, her father, and a pregnant stranger.",,"https://m.media-amazon.com/images/M/MV5BMzEyM2JjZmYtNzY1Yi00M2FiLWIyZmUtMGJmZTI4NmViNDVmXkEyXkFqcGdeQXVyMTA4MzQ4NzMw._V1_QL75_UY207_CR8,0,140,207_.jpg",November
205. Bottle Radha,2h 29m,,,"When his wife sends him to rehab for his alcohol addiction without consent, Radha's world shatters, fuelling his desperate escape plan. Loneliness and estrangement from his family follow as he returns to his old ways.",,,November
206. Jigarthanda Double X,2h 52m,8.5,2.1K,"In 1975, a filmmaker agrees to collaborate on a film with a gangster who wishes to become a famous actor.","2,136","https://m.media-amazon.com/images/M/MV5BMzA2ZTgxNzgtYjM3Ni00NTI1LWJiMjAtMWViNWUzNzIwYTgwXkEyXkFqcGdeQXVyMTMxODA4Njgx._V1_QL75_UX140_CR0,1,140,207_.jpg",November
207. Japan,2h 36m,3.4,1.2K,"A daring robbery in a jewellery showroom kickstarts the hunt for Japan, a notorious robber, who is a law unto himself.","1,166","https://m.media-amazon.com/images/M/MV5BZTlmODY5MWMtZDkyZi00YTU0LThiZWItZWFkYjJjYjFhZmEyXkEyXkFqcGdeQXVyMTA1OTMzNTQw._V1_QL75_UX140_CR0,1,140,207_.jpg",November
208. Raid,2h 5m,7.8,40,,40,"https://m.media-amazon.com/images/M/MV5BNTQ3MzA0NzAtYjhhNS00YmJlLTg2MDktNDkyODVhOGUwY2NiXkEyXkFqcGdeQXVyMTUyNjIwMDEw._V1_QL75_UY207_CR5,0,140,207_.jpg",November
209. Chaitra,,,,"Kathir's wife Chaitra is a mentally affected housewife, lived in a big house tries to commit suicide. One day some mysterious things happened and disappeared. Detective divya take the case and she find out the mysterious surrounded.",,"https://m.media-amazon.com/images/M/MV5BZDE2ZjY2NWYtOGU0MS00MWQ1LWFhNWEtNDk1NjQ5YTBmMjZhXkEyXkFqcGdeQXVyMTA4MzQ4NzMw._V1_QL75_UX140_CR0,19,140,207_.jpg",November
